人,学年,クラス,性別,2-1,2-2,2-3,2-4,2-5,2-6,2-7,3-1.国,3-1.数学,3-1.英語,3-2.国,3-2.数,3-2.英,3-3.国,3-3.数,3-3.英,3-4.国,3-4.数,3-4.英,3-5.国,3-5.数,3-5.英,MBTI
1,2,A,1,2,1,1,2,3,4,2,未,土,未,1,1,3,3,2,4,3,4,4,2,4,4,
2,2,A,0,2,1,3,3,2,3,4,金,金,木,2,2,2,4,4,4,4,4,4,2,3,4,ENFP
3,1,A,1,2,1,1,3,2,2,3,土,金,土,2,3,1,3,3,3,4,4,4,2,3,4,ENTJ
4,2,A,0,3,1,1,4,2,2,2,土,火,土,2,2,2,3,2,4,3,4,4,3,4,3,ENTJ
5,2,A,1,1,1,2,1,3,4,1,土,土,土,1,1,3,3,2,4,3,4,4,3,4,4,ENFP
6,2,A,0,2,3,1,2,3,4,1,土,土,土,1,1,2,3,1,3,2,2,3,3,2,4,INFJ
7,2,A,1,2,1,1,4,3,4,1,土,土,土,2,2,2,2,1,4,4,4,4,4,4,1,ENTP
8,2,A,0,2,1,1,1,2,4,2,金,土,金,3,3,4,2,4,3,4,4,4,2,3,3,INFJ
9,2,A,0,1,2,1,3,3,3,1,火,火,土,2,2,2,1,4,4,1,3,2,3,1,1,
10,2,A,0,1,1,2,1,2,3,3,土,土,土,1,1,4,3,4,4,4,4,4,3,3,4,INTP
11,2,A,1,2,1,1,2,3,4,2,未,土,未,1,1,3,3,2,1,3,4,4,2,4,4,
12,2,A,1,2,2,3,3,3,3,2,水,水,水,3,3,4,4,2,4,3,3,3,2,4,3,INTJ
13,2,A,1,1,1,1,1,2,3,2,土,土,土,2,2,2,4,2,3,4,4,4,3,4,4,ISTP
14,2,A,1,2,1,1,3,3,4,3,土,土,土,1,1,3,3,2,4,4,4,4,3,2,2,INFP
15,2,A,1,4,1,1,1,3,4,3,火,火,土,1,1,4,1,1,3,4,1,4,3,4,2,ENFP
16,1,A,1,3,1,2,2,3,4,2,土,土,土,2,4,2,2,3,3,4,2,4,4,4,3,
17,1,A,1,2,1,1,3,2,2,3,土,金,土,2,3,1,3,3,3,4,4,4,2,3,4,ENTJ
18,1,A,1,2,2,1,1,3,4,1,未,土,土,2,3,3,2,2,3,2,2,4,2,3,3,
19,1,A,0,2,1,2,2,2,3,1,金,土,土,1,3,2,2,4,3,2,4,4,3,3,3,
20,1,A,0,3,1,2,4,2,1,2,木,木,木,3,3,3,3,1,3,4,3,4,4,4,4,
21,1,A,1,1,1,2,2,3,1,1,水,水,水,2,4,3,3,4,2,2,3,4,1,2,4,
22,1,A,1,1,2,1,1,2,3,1,土,土,土,2,4,1,3,4,4,3,3,4,2,3,2,
23,1,A,0,2,1,3,1,2,3,3,土,土,土,1,3,2,1,1,4,3,3,3,2,4,2,
24,1,A,1,2,2,3,3,3,3,2,金,土,金,1,3,1,3,3,1,2,1,1,1,2,1,
25,1,A,1,2,1,1,1,3,3,2,土,土,土,2,3,3,3,2,4,4,4,4,2,3,2,ISFP
26,1,A,0,2,1,2,1,2,4,2,土,土,土,3,3,3,3,2,3,3,3,4,2,3,3,
27,1,A,1,3,1,2,4,2,3,2,未,未,土,2,3,1,2,2,1,3,3,3,3,4,4,
28,1,A,1,2,2,4,1,3,4,1,土,土,土,3,4,3,4,3,4,2,3,4,2,3,1,
29,1,A,0,1,2,1,1,2,4,2,土,土,土,1,4,2,1,4,4,1,4,4,4,1,3,
30,1,A,0,2,2,4,2,3,3,2,土,土,土,2,3,1,2,2,4,2,2,4,3,3,3,
31,1,A,1,3,3,1,2,1,3,1,未,未,未,,,,,,,,,,,,,
32,1,A,1,3,1,2,1,3,4,1,土,未,未,3,3,2,3,,,2,4,4,1,2,3,
33,1,A,1,1,1,1,1,2,3,2,未,未,未,,,,,,,,,,,,,
34,1,A,0,1,1,1,1,3,4,1,土,未,土,2,4,3,3,4,,2,3,4,3,2,3,